"year","geoid","ZIP_code","title_field","value"
"2013","86000US07307","07307","Male - 11th grade",195
"2013","86000US07307","07307","Male - 12th grade, no diploma",375
"2013","86000US07307","07307","Male - High school graduate, GED, or alternative",3659
"2013","86000US07307","07307","Male - Some college, less than 1 year",431
"2013","86000US07307","07307","Male - Some college, 1 or more years, no degree",1806
"2013","86000US07307","07307","Male - Associate's degree",893
"2013","86000US07307","07307","Male - Bachelor's degree",3293
"2013","86000US07307","07307","Male - Master's degree",1290
"2013","86000US07307","07307","Male - Professional school degree",165
"2013","86000US07307","07307","Male - Doctorate degree",133
"2013","86000US07307","07307","Female Population 25 Years and over",14919
"2013","86000US07307","07307","Female - No schooling completed",408
"2013","86000US07307","07307","Female - Nursery to 4th grade",300
"2013","86000US07307","07307","Female - 5th and 6th grade",609
"2013","86000US07307","07307","Female - 7th and 8th grade",553
"2013","86000US07307","07307","Female - 9th grade",260
"2013","86000US07307","07307","Female - 10th grade",262
"2013","86000US07307","07307","Female - 11th grade",238
"2013","86000US07307","07307","Female - 12th grade, no diploma",467
"2013","86000US07307","07307","Female - High school graduate, GED, or alternative",4336
"2013","86000US07307","07307","Female - Some college, less than 1 year",404
"2013","86000US07307","07307","Female - Some college, 1 or more years, no degree",1883
"2013","86000US07307","07307","Female - Associate's degree",756
"2013","86000US07307","07307","Female - Bachelor's degree",3013
"2013","86000US07307","07307","Female - Master's degree",1153
"2013","86000US07307","07307","Female - Professional school degree",219
"2013","86000US07307","07307","Female - Doctorate degree",58
"2013","86000US07310","07310","Total Population",12644
"2013","86000US07310","07310","Male Population",6311
"2013","86000US07310","07310","Male Under 5 years",375
"2013","86000US07310","07310","Male 5 to 9 years",108
"2013","86000US07310","07310","Male 10 to 14 years",8
"2013","86000US07310","07310","Male 15 to 17 years",124
"2013","86000US07310","07310","Male 18 and 19 years",53
"2013","86000US07310","07310","Male 20 years",0
"2013","86000US07310","07310","Male 21 years",0
"2013","86000US07310","07310","Male 22 to 24 years",259
"2013","86000US07310","07310","Male 25 to 29 years",1656
"2013","86000US07310","07310","Male 30 to 34 years",1417
"2013","86000US07310","07310","Male 35 to 39 years",921
"2013","86000US07310","07310","Male 40 to 44 years",372
"2013","86000US07310","07310","Male 45 to 49 years",211
"2013","86000US07310","07310","Male 50 to 54 years",328
"2013","86000US07310","07310","Male 55 to 59 years",267
"2013","86000US07310","07310","Male 60 and 61 years",46
"2013","86000US07310","07310","Male 62 to 64 years",88
"2013","86000US07310","07310","Male 65 and 66 years",0
"2013","86000US07310","07310","Male 67 to 69 years",0
"2013","86000US07310","07310","Male 70 to 74 years",34
"2013","86000US07310","07310","Male 75 to 79 years",37
"2013","86000US07310","07310","Male 80 to 84 years",0
"2013","86000US07310","07310","Male 85 years and over",7
"2013","86000US07310","07310","Female Population",6333
"2013","86000US07310","07310","Female Under 5 years",648
"2013","86000US07310","07310","Female 5 to 9 years",125
"2013","86000US07310","07310","Female 10 to 14 years",10
"2013","86000US07310","07310","Female 15 to 17 years",118
"2013","86000US07310","07310","Female 18 and 19 years",38
"2013","86000US07310","07310","Female 20 years",53
"2013","86000US07310","07310","Female 21 years",13
"2013","86000US07310","07310","Female 22 to 24 years",505
"2013","86000US07310","07310","Female 25 to 29 years",1686
"2013","86000US07310","07310","Female 30 to 34 years",1264
